pop_size:100	 vacc_percentage:0.4	 virus_name:theaids	 mortality_rate:0.4	 basic_repro_num:0.3 
Infected person: 0	 random person 43	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 55	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 33	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 97	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 13	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 81	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 25	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 97	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 0	 random person 99	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 0	 random person 41	 random person got the virus False	 did have vacc False	 random person got None
--------------------time Step 1 was completed------------------------
Infected person: 3	 random person 45	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 59	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 83	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 7	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 13	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 57	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 23	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 9	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 83	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 21	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 61	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 7	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 49	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 89	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 71	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 19	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 27	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 7	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 7	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 61	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 67	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 65	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 23	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 15	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 5	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 53	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 91	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 9	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 79	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 9	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 47	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 83	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 13	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 17	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 13	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 19	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 91	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 87	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 11	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 5	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 3	 random person 81	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 3	 random person 71	 random person got the virus True	 did have vacc False	 random person got None
--------------------time Step 2 was completed------------------------
Infected person: 5	 random person 45	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 79	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 89	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 5	 random person 39	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 29	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 5	 random person 87	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 79	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 15	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 39	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 41	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 37	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 53	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 95	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 83	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 27	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 21	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 81	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 11	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 39	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 5	 random person 53	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 91	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 63	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 5	 random person 83	 random person got the virus False	 did have vacc False	 random person got None
--------------------time Step 3 was completed------------------------
Infected person: 29	 random person 95	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 81	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 91	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 27	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 59	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 53	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 45	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 53	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 21	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 79	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 75	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 59	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 41	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 41	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 53	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 95	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 83	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 83	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 79	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 27	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 21	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 95	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 91	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 29	 random person 75	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 87	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 15	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 29	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
--------------------time Step 4 was completed------------------------
Infected person: 27	 random person 75	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 27	 random person 11	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 27	 random person 63	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 27	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 27	 random person 11	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 27	 random person 95	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 27	 random person 15	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 27	 random person 15	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 27	 random person 75	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 27	 random person 37	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 27	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 27	 random person 37	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 27	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 27	 random person 87	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 27	 random person 15	 random person got the virus False	 did have vacc False	 random person got None
--------------------time Step 5 was completed------------------------
Infected person: 11	 random person 21	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 11	 random person 95	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 11	 random person 15	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 11	 random person 63	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 11	 random person 63	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 11	 random person 63	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 11	 random person 15	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 11	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 11	 random person 15	 random person got the virus False	 did have vacc False	 random person got None
--------------------time Step 6 was completed------------------------
Infected person: 15	 random person 95	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 15	 random person 95	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 15	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 15	 random person 95	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 15	 random person 21	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 15	 random person 21	 random person got the virus True	 did have vacc False	 random person got None
Infected person: 15	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
--------------------time Step 7 was completed------------------------
Infected person: 21	 random person 1	 random person got the virus False	 did have vacc False	 random person got None
Infected person: 21	 random person 1	 random person got the virus True	 did have vacc False	 random person got None
--------------------time Step 8 was completed------------------------
--------------------time Step 9 was completed------------------------
